연도,분기,지역,이산화황_평균,이산화질소_평균,오존_평균,일산화탄소_평균,미세먼지_평균,초미세먼지_평균,이산화황_분산,이산화질소_분산,오존_분산,일산화탄소_분산,미세먼지_분산,초미세먼지_분산
2020,2,경남,0.0030370370370370377,0.010333333333333335,0.04727777777777778,0.3611111111111111,31.28846153846154,15.62962962962963,2.9492455418381356e-07,6.074074074074073e-06,1.075617283950618e-05,0.004228395061728397,13.897559171597639,3.8998628257887513
2020,2,제주,0.0015000000000000002,0.008666666666666666,0.04566666666666666,0.3166666666666667,35.333333333333336,17.0,2.5e-07,7.555555555555554e-06,3.455555555555556e-05,0.004722222222222223,37.88888888888889,7.0
2020,3,서울,0.0026666666666666666,0.015333333333333332,0.026,0.3666666666666667,21.0,12.666666666666666,2.2222222222222224e-07,8.88888888888889e-07,2.6000000000000005e-05,0.0022222222222222235,2.6666666666666665,1.5555555555555556
2020,3,경기,0.0026666666666666666,0.011569892473118277,0.027741935483870963,0.37204301075268803,22.193548387096776,11.956989247311828,5.017921146953403e-07,1.3728986009943345e-05,2.036351023239681e-05,0.003734535784483757,9.274366978841485,5.804601688056424
2020,3,강원,0.0022222222222222227,0.005944444444444445,0.026351851851851852,0.3814814814814814,17.64814814814815,9.62962962962963,8.024691358024692e-07,6.126543209876542e-06,2.222805212620028e-05,0.006323731138545953,14.191015089163239,4.640603566529492
2020,3,충북,0.002787878787878788,0.008090909090909091,0.024909090909090912,0.34242424242424246,19.87878787878788,10.93939393939394,2.8833792470156106e-07,6.5674931129476586e-06,1.4749311294765837e-05,0.003048668503213959,14.651974288337923,5.269054178145087
2020,3,충남,0.0032000000000000006,0.007533333333333334,0.03086666666666667,0.3644444444444445,22.955555555555556,12.555555555555555,2.933333333333333e-07,4.6044444444444435e-06,3.3582222222222216e-05,0.007180246913580247,6.664691358024691,2.9580246913580246
2020,3,전북,0.0025,0.0064761904761904765,0.029380952380952386,0.29285714285714287,20.547619047619047,13.619047619047619,3.4523809523809526e-07,5.439909297052153e-06,3.290249433106576e-05,0.006377551020408163,11.676303854875286,5.09297052154195
2020,3,전남,0.002696969696969697,0.005590909090909091,0.028439393939393938,0.393939393939394,22.015151515151516,12.606060606060606,5.748393021120295e-07,4.544765840220385e-06,6.673117539026631e-05,0.015114784205693295,35.13613406795224,16.269054178145087
2020,3,경북,0.002898550724637681,0.006710144927536232,0.029724637681159415,0.30579710144927535,19.333333333333332,11.18840579710145,5.549254358328083e-07,5.9449695442134e-06,2.3996639361478683e-05,0.004314219701743333,19.70048309178744,12.239865574459145
2020,3,경남,0.0026851851851851854,0.008666666666666666,0.031203703703703702,0.32777777777777783,23.11111111111111,12.74074074074074,3.6385459533607706e-07,6.148148148148147e-06,2.1977023319615915e-05,0.005709876543209876,24.24691358024691,9.488340192043895
2020,3,제주,0.0013333333333333333,0.006833333333333334,0.0335,0.21666666666666665,24.833333333333332,12.166666666666666,2.2222222222222224e-07,5.1388888888888895e-06,9.624999999999998e-05,0.0013888888888888883,18.47222222222222,5.472222222222222
2020,4,서울,0.0033333333333333335,0.028999999999999998,0.016999999999999998,0.5666666666666668,39.0,22.666666666666668,2.2222222222222224e-07,8.666666666666663e-06,1.2666666666666663e-05,0.0022222222222222214,18.0,17.555555555555554
2020,4,경기,0.0034516129032258073,0.02467741935483871,0.017870967741935483,0.5172043010752688,42.483870967741936,23.9247311827957,4.842178286507112e-07,4.082067291016303e-05,1.3574748525841139e-05,0.005725517400855587,32.52930974679154,29.63949589547925
2020,4,강원,0.0025370370370370373,0.011981481481481484,0.02442592592592592,0.44629629629629625,30.925925925925927,17.943396226415093,5.449245541838133e-07,2.046262002743484e-05,4.202229080932783e-05,0.011375171467764058,46.47599451303155,34.09113563545746
2020,4,충북,0.003090909090909091,0.01675757575757576,0.02006060606060606,0.5060606060606061,38.96969696969697,25.21212121212121,2.6446280991735537e-07,1.6001836547291093e-05,9.632690541781451e-06,0.010266299357208446,26.150596877869607,24.409550045913683
2020,4,충남,0.004066666666666667,0.015755555555555557,0.024444444444444442,0.4888888888888889,39.91111111111111,23.8,1.9555555555555563e-07,1.4362469135802467e-05,3.1669135802469135e-05,0.005432098765432096,28.525432098765425,20.071111111111108
2020,4,전북,0.0027619047619047623,0.013595238095238096,0.025095238095238098,0.39285714285714285,33.8,21.025,7.528344671201815e-07,1.7431405895691606e-05,2.2371882086167804e-05,0.003996598639455782,33.21,16.974375
2020,4,전남,0.002712121212121212,0.010863636363636367,0.028181818181818176,0.4,29.46969696969697,16.272727272727273,6.595500459136823e-07,1.0723829201101932e-05,7.15426997245179e-05,0.011818181818181818,20.06726354453627,14.652892561983473
2020,4,경북,0.0035362318840579713,0.012681159420289856,0.02628985507246376,0.42318840579710143,32.98550724637681,20.057971014492754,5.176223482461668e-06,2.0738920394875027e-05,3.9365259399285865e-05,0.012215921024994747,43.0287754673388,33.01113211510187
2020,4,경남,0.003111111111111112,0.014796296296296297,0.027092592592592585,0.4129629629629629,29.14814814814815,16.48148148148148,4.6913580246913586e-07,2.175480109739369e-05,2.6750685871056242e-05,0.004461591220850481,15.607681755829903,14.101508916323732
2020,4,제주,0.0015000000000000002,0.009666666666666665,0.0385,0.3,28.5,14.166666666666666,2.5e-07,8.888888888888888e-06,2.524999999999999e-05,0.003333333333333334,13.583333333333334,1.805555555555556
2021,1,서울,0.0033333333333333335,0.031,0.020666666666666667,0.5666666666666667,51.0,27.333333333333332,2.2222222222222224e-07,6.666666666666679e-07,1.755555555555556e-05,0.0022222222222222214,144.66666666666666,21.555555555555554
